idx,name,fp32_lpips,int8_lpips,lpips_rise,int8_vs_fp32_lpips
73,0874.png,0.10961897671222687,0.10926976799964905,-0.0003492087125778198,0.06823655217885971
74,0875.png,0.18792741000652313,0.17204052209854126,-0.015886887907981873,0.011374996975064278
75,0876.png,0.23785701394081116,0.21282468736171722,-0.025032326579093933,0.010440586134791374
76,0877.png,0.0931512638926506,0.09341274201869965,0.00026147812604904175,0.05263606086373329
77,0878.png,0.19107332825660706,0.14970609545707703,-0.04136723279953003,0.022150669246912003
78,0879.png,0.1456468254327774,0.13437940180301666,-0.011267423629760742,0.008611935190856457
79,0880.png,0.1827290654182434,0.156914621591568,-0.025814443826675415,0.021829625591635704
80,0881.png,0.2314099669456482,0.21418742835521698,-0.017222538590431213,0.005634919740259647
81,0882.png,0.33831334114074707,0.31166329979896545,-0.026650041341781616,0.011545907706022263
82,0883.png,0.2011631429195404,0.1797391176223755,-0.021424025297164917,0.007200405467301607
83,0884.png,0.29234734177589417,0.2837768793106079,-0.008570462465286255,0.011892108246684074
84,0885.png,0.24950872361660004,0.2322951704263687,-0.017213553190231323,0.005464137531816959
85,0886.png,0.1529548615217209,0.1281825602054596,-0.02477230131626129,0.013686059042811394
86,0887.png,0.17454546689987183,0.16548438370227814,-0.009061083197593689,0.0032150631304830313
87,0888.png,0.06518713384866714,0.05729221552610397,-0.007894918322563171,0.010698309168219566
88,0889.png,0.2104358971118927,0.15958552062511444,-0.05085037648677826,0.054820816963911057
89,0890.png,0.23685500025749207,0.2123393714427948,-0.024515628814697266,0.020306970924139023
90,0891.png,0.24435612559318542,0.22771839797496796,-0.016637727618217468,0.04282250255346298
91,0892.png,0.1455685794353485,0.11741345375776291,-0.028155125677585602,0.018367189913988113
92,0893.png,0.33106887340545654,0.212221160531044,-0.11884771287441254,0.08159899711608887
93,0894.png,0.14116579294204712,0.14884962141513824,0.0076838284730911255,0.03464652597904205
94,0895.png,0.3994975686073303,0.3706280589103699,-0.02886950969696045,0.015146248042583466
95,0896.png,0.09306733310222626,0.07126348465681076,-0.021803848445415497,0.016474802047014236
96,0897.png,0.17558994889259338,0.1660790890455246,-0.009510859847068787,0.0023063719272613525
97,0898.png,0.10131099075078964,0.09574000537395477,-0.005570985376834869,0.003464675974100828
98,0899.png,0.10255156457424164,0.09610944986343384,-0.0064421147108078,0.008540395647287369
